==========================================
SLURM_JOB_ID = 2410593
SLURM_NODELIST = gnode106
SLURM_JOB_GPUS = 1
==========================================
/var/spool/slurmd/job2410593/slurm_script: line 10: activate: No such file or directory

video 1/1721 (1/834) /scratch/mukil/dipx/common/aria_common/0074726e-def7-4868-b93d-1ce03fa39ffa.mp4: 1088x1088 1 face, 26.9ms
video 24/1721 (607/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 (no detections), 24.4ms
video 24/1721 (608/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 (no detections), 24.3ms
video 24/1721 (609/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 (no detections), 24.3ms
video 24/1721 (610/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 (no detections), 24.4ms
video 24/1721 (611/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 (no detections), 24.4ms
video 24/1721 (612/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 (no detections), 24.5ms
video 24/1721 (613/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 face, 24.4ms
video 24/1721 (614/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 face, 24.5ms
video 24/1721 (615/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 face, 24.4ms
video 24/1721 (616/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 face, 24.3ms
video 24/1721 (617/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 face, 24.7ms
video 24/1721 (618/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 face, 24.3ms
video 24/1721 (619/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 (no detections), 24.6ms
video 24/1721 (620/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 (no detections), 24.4ms
video 24/1721 (621/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 (no detections), 24.5ms
video 24/1721 (622/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 (no detections), 24.4ms
video 24/1721 (623/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 24.5ms
video 24/1721 (624/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 24.4ms
video 24/1721 (625/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 24.3ms
video 24/1721 (626/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 24.5ms
video 24/1721 (627/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 2 licenses, 24.3ms
video 24/1721 (628/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 2 licenses, 24.6ms
video 24/1721 (629/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 24.3ms
video 24/1721 (630/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 24.3ms
video 24/1721 (631/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 24.4ms
video 24/1721 (632/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 24.2ms
video 24/1721 (633/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 24.7ms
video 24/1721 (634/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 24.3ms
video 24/1721 (635/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 1 face, 24.5ms
video 24/1721 (636/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 1 face, 24.4ms
video 24/1721 (637/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 1 face, 24.3ms
video 24/1721 (638/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 1 face, 24.6ms
video 24/1721 (639/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 1 face, 24.3ms
video 24/1721 (640/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 1 face, 24.5ms
video 24/1721 (641/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 24.4ms
video 24/1721 (642/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 24.2ms
video 24/1721 (643/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 2 faces, 24.6ms
video 24/1721 (644/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 2 faces, 24.3ms
video 24/1721 (645/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 1 face, 24.4ms
video 24/1721 (646/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 1 face, 24.4ms
video 24/1721 (647/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 24.2ms
video 24/1721 (648/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 24.6ms
video 24/1721 (649/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 2 faces, 24.3ms
video 24/1721 (650/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 2 faces, 24.5ms
video 24/1721 (651/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 1 face, 24.4ms
video 24/1721 (652/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 1 face, 24.2ms
video 24/1721 (653/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 1 face, 24.6ms
video 24/1721 (654/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 1 face, 24.3ms
video 24/1721 (655/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 1 face, 24.3ms
video 24/1721 (656/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 1 face, 24.4ms
video 24/1721 (657/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 1 face, 24.2ms
video 24/1721 (658/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 1 face, 24.6ms
video 24/1721 (659/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 1 face, 24.3ms
video 24/1721 (660/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 1 face, 24.3ms
video 24/1721 (661/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 1 face, 24.4ms
video 24/1721 (662/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 1 face, 24.2ms
video 24/1721 (663/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 24.6ms
video 24/1721 (664/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 24.3ms
video 24/1721 (665/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 (no detections), 24.3ms
video 24/1721 (666/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 (no detections), 24.4ms
video 24/1721 (667/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 24.4ms
video 24/1721 (668/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 24.4ms
video 24/1721 (669/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 1 face, 24.3ms
video 24/1721 (670/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 1 face, 24.6ms
video 24/1721 (671/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 24.3ms
video 24/1721 (672/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 24.5ms
video 24/1721 (673/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 1 face, 24.4ms
video 24/1721 (674/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 1 face, 24.3ms
video 24/1721 (675/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 24.6ms
video 24/1721 (676/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 24.3ms
video 24/1721 (677/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 24.5ms
video 24/1721 (678/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 24.4ms
video 24/1721 (679/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 1 face, 24.3ms
video 24/1721 (680/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 1 face, 24.7ms
video 24/1721 (681/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 1 face, 24.3ms
video 24/1721 (682/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 1 face, 24.5ms
video 24/1721 (683/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 1 face, 24.4ms
video 24/1721 (684/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 1 face, 24.3ms
video 24/1721 (685/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 1 face, 24.6ms
video 24/1721 (686/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 1 face, 24.3ms
video 24/1721 (687/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 24.4ms
video 24/1721 (688/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 24.4ms
video 24/1721 (689/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 24.3ms
video 24/1721 (690/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 24.6ms
video 24/1721 (691/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 24.3ms
video 24/1721 (692/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 24.6ms
video 24/1721 (693/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 24.4ms
video 24/1721 (694/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 24.3ms
video 24/1721 (695/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 24.5ms
video 24/1721 (696/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 24.3ms
video 24/1721 (697/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 24.6ms
video 24/1721 (698/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 24.3ms
video 24/1721 (699/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 (no detections), 24.3ms
video 24/1721 (700/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 (no detections), 24.4ms
video 24/1721 (701/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 (no detections), 24.3ms
video 24/1721 (702/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 (no detections), 24.3ms
video 24/1721 (703/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 24.4ms
video 24/1721 (704/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 24.4ms
video 24/1721 (705/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 2 licenses, 24.3ms
video 24/1721 (706/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 2 licenses, 24.6ms
video 24/1721 (707/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 24.3ms
video 24/1721 (708/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 24.6ms
video 24/1721 (709/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 24.4ms
video 24/1721 (710/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 24.3ms
video 24/1721 (711/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 24.5ms
video 24/1721 (712/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 24.3ms
video 24/1721 (713/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 24.6ms
video 24/1721 (714/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 24.3ms
video 24/1721 (715/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 1 face, 24.5ms
video 24/1721 (716/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 1 face, 24.4ms
video 24/1721 (717/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 1 face, 24.3ms
video 24/1721 (718/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 1 face, 24.6ms
video 24/1721 (719/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 2 licenses, 1 face, 24.3ms
video 24/1721 (720/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 2 licenses, 1 face, 24.5ms
video 24/1721 (721/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 1 face, 24.4ms
video 24/1721 (722/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 1 face, 24.2ms
video 24/1721 (723/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 1 face, 24.6ms
video 24/1721 (724/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 1 face, 24.3ms
video 24/1721 (725/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 1 face, 24.3ms
video 24/1721 (726/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 1 face, 24.4ms
video 24/1721 (727/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 1 face, 24.2ms
video 24/1721 (728/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 1 face, 24.6ms
video 24/1721 (729/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 24.3ms
video 24/1721 (730/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 24.3ms
video 24/1721 (731/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 24.4ms
video 24/1721 (732/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 24.3ms
video 24/1721 (733/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 24.6ms
video 24/1721 (734/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 24.3ms
video 24/1721 (735/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 24.6ms
video 24/1721 (736/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 24.4ms
video 24/1721 (737/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 24.3ms
video 24/1721 (738/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 24.5ms
video 24/1721 (739/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 24.3ms
video 24/1721 (740/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 24.6ms
video 24/1721 (741/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 24.3ms
video 24/1721 (742/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 24.5ms
video 24/1721 (743/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 (no detections), 24.4ms
video 24/1721 (744/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 (no detections), 24.4ms
video 24/1721 (745/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 (no detections), 24.5ms
video 24/1721 (746/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 (no detections), 24.4ms
video 24/1721 (747/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 24.5ms
video 24/1721 (748/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 24.3ms
video 24/1721 (749/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 1 face, 24.6ms
video 24/1721 (750/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 1 face, 24.3ms
video 24/1721 (751/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 (no detections), 24.6ms
video 24/1721 (752/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 (no detections), 24.4ms
video 24/1721 (753/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 (no detections), 24.3ms
video 24/1721 (754/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 (no detections), 24.3ms
video 24/1721 (755/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 (no detections), 24.4ms
video 24/1721 (756/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 (no detections), 24.4ms
video 24/1721 (757/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 face, 24.5ms
video 24/1721 (758/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 face, 24.4ms
video 24/1721 (759/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 (no detections), 24.3ms
video 24/1721 (760/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 (no detections), 24.5ms
video 24/1721 (761/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 (no detections), 24.4ms
video 24/1721 (762/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 (no detections), 24.5ms
video 24/1721 (763/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 (no detections), 24.4ms
video 24/1721 (764/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 (no detections), 24.5ms
video 24/1721 (765/1065) /scratch/mukil/dipx/common/aria_common/03e7f65a-b5bf-49cc-8c95-bc13ef251d6f.mp4: 1088x1088 1 license, 24.4ms
